Lucid Air Dream Edition R	685Average
Ford Mustang Mach-E SR RWD	355Average
Smart #1	350Average
Genesis GV70 Electrified Sport	350Average
Mercedes EQA 300 4MATIC	350Average
Mercedes EQA 350 4MATIC	350Average
Aiways U6	350Average
CUPRA Born 150 kW - 58 kWh	350Average
BYD TANG	350Average
Volkswagen ID.3 Pro Performance	350Average
Volvo XC40 Recharge Single Motor	345Average
Mercedes EQB 250	345Average
Tesla Model Y	345Average
Ford Mustang Mach-E SR AWD	345Average
CUPRA Born 170 kW - 58 kWh	345Average
ORA Funky Cat 63 kWh	340Average
Nissan Leaf e+	340Average
NIO EL7 75 kWh	340Average
Mercedes EQB 300 4MATIC	335Average
Toyota bZ4X FWD	335Average
Skoda Enyaq Coupe iV 60	335Average
MG MG5 Electric Long Range	335Average
Smart #1 Brabus	335Average
Mercedes EQB 350 4MATIC	335Average
MG Marvel R	335Average
ORA Funky Cat GT	330Average
Toyota bZ4X AWD	330Average
Volkswagen ID. Buzz Pro	330Average
MG Marvel R Performance	330Average
Skoda Enyaq iV 60	325Average
Nissan Ariya 63kWh	320Average
Subaru Solterra AWD	320Average
BYD ATTO 3	320Average
Renault Zoe ZE50 R110	315Average
Aiways U5	315Average
Opel Astra Electric	310Average
Mercedes eVito Tourer Long 90 kWh	310Average
Lexus RZ 450e	310Average
Renault Zoe ZE50 R135	310Average
Peugeot e-308	310Average
Mercedes EQV 300 Extra-Long	305Average
Mercedes eVito Tourer Extra-Long 90 kWh	305Average
Kia EV6 Standard Range 2WD	305Average
Hongqi E-HS9 84 kWh	305Average
Mercedes EQV 300 Long	305Average
Opel Astra Sports Tourer Electric	300Average
Jeep Avenger Electric	300Average
Hyundai Kona Electric 48 kWh	300Average
MG MG4 Electric 51 kWh	300Average
Peugeot e-308 SW	300Average
DS 3 E-Tense	300Average
Jeep Avenger Electric 1st Edition	295Average
Audi Q4 Sportback e-tron 35	295Average
Hyundai IONIQ 5 Standard Range 2WD	295Average
SsangYong Korando e-Motion	290Average
Peugeot e-208	285Average
Opel Corsa-e	285Average
