consolidated_longitude,consolidated_latitude,nbre_pdc,puissance_nominale
-3.93,47.87,2,22.0
-3.925,47.878,2,22.0
-3.918,47.873,2,22.0
-3.917,47.87,2,22.0
-3.914,48.667,2,22.0
-3.91,47.872,2,22.0
-3.908,47.901,2,25.0
-3.902,47.922,2,50.0
-3.897,48.301,2,22.0
-3.89,47.996,2,22.0
-3.885,48.165,2,22.0
-3.879,48.552,2,50.0
-3.874,48.508,2,22.0
-3.863,48.107,2,22.0
-3.851,47.855,4,22.0
-3.85,47.964,8,50.0
-3.843,48.576,2,22.0
-3.836,47.907,2,22.0
-3.836,48.137,2,22.0
-3.834,48.578,2,22.0
-3.833,47.96,2,22.0
-3.833,48.061,2,22.0
-3.832,48.583,2,22.0
-3.83,47.958,2,22.0
-3.829,48.575,1,22.0
-3.826,48.253,2,22.0
-3.822,48.64,2,22.0
-3.82,48.195,4,22.0
-3.819,48.193,2,22.0
-3.818,48.575,2,22.0
-3.817,48.593,6,50.0
-3.802,47.889,2,22.0
-3.799,48.153,2,22.0
-3.793,48.697,2,22.0
-3.791,47.818,2,22.0
-3.79,48.534,2,22.0
-3.789,47.845,18,24.0
-3.752,47.857,2,22.0
-3.751,48.363,2,22.0
-3.72,48.02,4,22.0
-3.717,48.127,4,18.0
-3.717,48.646,2,22.0
-3.712,48.52,2,22.0
-3.71,48.667,2,22.0
-3.706,47.927,2,22.0
-3.704,47.926,9,120.0
-3.702,48.026,2,22.0
-3.702,48.568,2,22.0
-3.7,47.933,2,22.0
-3.691,47.843,2,22.0
-3.678,48.434,2,22.0
-3.675,48.621,2,22.0
-3.631,47.812,2,22.0
-3.625,48.662,8,60.0
-3.623,47.959,2,22.0
-3.606,47.858,2,22.0
-3.606,48.567,2,50.0
-3.601,48.141,4,36.0
-3.586,47.796,2,22.0
-3.585,47.869,2,50.0
-3.584,48.515,2,22.0
-3.583,47.9,2,22.0
-3.578,48.771,2,22.0
-3.576,48.277,2,22.0
-3.568,48.683,2,22.0
-3.562,48.284,2,22.0
-3.56,48.283,6,22.0
-3.553,47.871,2,22.0
-3.552,47.869,2,22.0
-3.546,47.874,2,22.0
-3.539,48.276,2,50.0
-3.537,47.96,2,22.0
-3.53,47.862,2,22.0
-3.526,47.772,4,18.0
-3.523,48.68,2,22.0
-3.521,47.902,2,22.0
-3.52,48.7,1,7.0
-3.519,48.806,4,22.0
-3.517,48.772,2,22.0
-3.514,48.833,2,22.0
-3.499,47.734,2,18.0
-3.499,48.032,4,18.0
-3.493,47.793,4,18.0
-3.491,48.104,4,18.0
-3.49,48.031,2,42.0
-3.478,47.937,2,22.0
-3.476,48.764,8,50.0
-3.47,48.613,2,22.0
-3.469,47.822,4,175.0
-3.462,47.86,2,22.0
-3.461,48.75,2,22.0
-3.458,48.751,12,50.0
-3.456,48.728,2,22.0
-3.454,47.703,4,22.0
-3.452,48.75,12,22.0
-3.449,47.642,4,18.0
-3.449,48.607,2,22.0
-3.448,48.705,2,22.0
-3.447,48.557,2,22.0
-3.445,48.815,2,22.0
-3.444,48.734,6,50.0
-3.443,47.803,4,22.0
-3.442,48.807,2,22.0
-3.44,47.902,2,22.0
-3.435,48.734,8,50.0
-3.433,47.702,4,18.0
-3.433,47.994,4,18.0
-3.432,48.406,6,50.0
-3.427,47.735,4,18.0
-3.427,47.737,4,18.0
-3.424,48.284,2,22.0
-3.416,47.79,4,18.0
-3.415,47.936,2,22.0
-3.413,48.795,2,22.0
-3.411,48.061,4,18.0
-3.402,47.767,4,18.0
-3.4,47.833,4,18.0
-3.398,48.222,2,22.0
-3.396,48.546,2,22.0
-3.394,47.74,4,18.0
-3.394,47.996,4,18.0
-3.389,47.746,9,60.0
-3.389,48.145,4,18.0
-3.387,47.743,4,18.0
-3.386,47.706,2,22.0
-3.386,47.761,4,18.0
-3.386,48.808,2,22.0
-3.385,47.704,4,18.0
-3.383,47.706,4,36.0
-3.383,47.736,4,18.0
-3.379,47.763,6,50.0
-3.378,47.753,4,18.0
-3.376,47.735,20,200.0
-3.373,47.732,4,18.0
-3.368,47.747,4,36.0
-3.367,47.754,2,22.0
-3.366,47.735,4,18.0
-3.366,47.749,6,22.0
-3.365,47.752,4,18.0
-3.362,47.754,4,18.0
-3.361,47.75,4,18.0
-3.36,47.73,2,18.0
-3.36,47.731,2,18.0
-3.36,47.749,4,18.0
-3.358,47.708,4,18.0
-3.358,48.813,2,22.0
-3.356,47.746,6,18.0
-3.35,47.763,4,18.0
-3.349,47.78,4,50.0
-3.348,48.672,2,22.0
-3.345,47.776,10,300.0
-3.343,47.774,10,80.0
-3.343,48.769,2,22.0
-3.342,47.811,2,18.0
-3.341,47.774,4,18.0
-3.341,47.81,2,22.0
-3.341,47.811,2,18.0
-3.341,48.099,2,18.0
-3.341,48.1,2,18.0
-3.34,47.781,4,50.0
-3.34,48.567,2,22.0
-3.338,47.778,2,24.0
-3.337,47.888,4,36.0
-3.337,47.917,4,18.0
-3.334,47.918,8,22.0
-3.33,47.788,8,250.0
-3.327,47.789,4,25.0
-3.325,47.726,2,22.0
-3.323,47.876,4,18.0
-3.318,48.008,4,18.0
-3.317,47.79,4,22.0
-3.316,48.235,2,22.0
-3.313,48.242,1,50.0
-3.31,47.712,4,18.0
-3.305,48.777,2,22.0
-3.3,48.63,2,22.0
-3.296,48.243,2,22.0
-3.296,48.394,2,22.0
-3.296,48.623,1,22.0
-3.296,48.813,2,22.0
-3.282,47.978,4,18.0
-3.28,48.751,2,22.0
-3.276,47.805,4,18.0
-3.271,48.037,4,18.0
-3.27,48.597,2,22.0
-3.262,47.889,4,18.0
-3.261,48.745,2,22.0
-3.252,47.696,4,18.0
-3.252,48.24,2,22.0
-3.249,47.828,4,18.0
-3.244,48.777,2,22.0
-3.243,48.731,2,22.0
-3.241,47.764,4,18.0
-3.239,48.798,2,22.0
-3.236,47.736,4,18.0
-3.229,48.842,2,22.0
-3.226,47.738,6,50.0
-3.223,47.368,4,24.0
-3.223,48.786,2,22.0
-3.221,47.376,2,22.0
-3.215,48.347,2,22.0
-3.207,48.067,4,36.0
-3.206,48.623,2,22.0
-3.204,47.658,4,18.0
-3.191,48.674,2,22.0
-3.189,48.071,4,18.0
-3.187,48.518,2,22.0
-3.186,47.361,4,22.0
-3.186,48.473,2,22.0
-3.185,48.557,2,22.0
-3.181,47.672,6,50.0
-3.18,48.227,2,22.0
-3.173,47.964,2,18.0
-3.173,47.965,2,18.0
-3.168,47.676,4,36.0
-3.165,48.612,2,22.0
-3.16,47.834,4,18.0
-3.16,48.315,2,22.0
-3.159,47.349,4,12.0
-3.159,48.698,2,22.0
-3.157,47.347,4,36.0
-3.157,47.641,4,18.0
-3.156,48.733,2,22.0
-3.155,47.346,4,36.0
-3.154,47.345,6,22.0
-3.151,48.555,16,22.0
-3.148,48.551,1,50.0
-3.148,48.561,2,22.0
-3.139,48.842,2,22.0
-3.137,48.586,2,22.0
-3.135,47.906,4,18.0
-3.133,48.665,2,22.0
-3.132,47.521,4,18.0
-3.128,48.164,2,18.0
-3.127,47.478,2,22.0
-3.122,47.482,4,18.0
-3.122,47.761,8,40.0
-3.12,47.762,4,18.0
-3.113,47.477,2,22.0
-3.113,48.55,4,175.0
-3.112,47.599,4,36.0
-3.11,47.979,4,18.0
-3.106,48.705,2,22.0
-3.104,47.487,2,22.0
-3.104,47.71,4,18.0
-3.104,48.557,2,22.0
-3.103,47.487,2,22.0
-3.103,48.788,2,22.0
-3.1,47.48,4,22.0
-3.096,48.225,2,22.0
-3.093,47.476,2,22.08
-3.092,48.028,4,18.0
-3.088,47.63,1,7.0
-3.085,47.295,4,24.0
-3.079,47.585,2,18.0
-3.078,47.57,4,36.0
-3.076,47.748,4,18.0
-3.072,48.746,2,22.0
-3.07,47.653,4,18.0
-3.065,47.981,4,18.0
-3.057,48.316,2,22.0
-3.048,48.776,2,22.0
-3.046,47.926,4,18.0
-3.043,48.779,2,22.0
-3.031,48.801,2,22.0
-3.029,47.589,4,18.0
-3.028,47.574,2,22.0
-3.018,47.875,4,18.0
-3.013,47.897,6,50.0
-3.012,47.67,2,22.0
-3.009,47.67,2,22.0
-3.009,47.778,4,36.0
-3.008,47.67,2,18.0
-3.007,47.664,2,22.0
-3.007,48.696,2,22.0
-3.001,47.617,2,18.0
-3.001,48.536,2,22.0
-3.0,47.587,4,18.0
-3.0,47.848,4,18.0
-3.0,48.381,2,22.0
-2.999,47.72,4,18.0
-2.99,47.666,4,18.0
-2.988,48.198,2,22.0
-2.986,48.632,2,22.0
-2.985,48.748,2,22.0
-2.983,48.631,2,22.0
-2.982,47.669,4,18.0
-2.977,47.908,4,18.0
-2.973,48.542,2,22.0
-2.972,47.958,4,18.0
-2.968,48.541,2,22.0
-2.967,48.065,4,18.0
-2.965,48.071,4,18.0
-2.962,48.057,1,22.0
-2.959,47.674,4,18.0
-2.954,48.054,6,50.0
-2.95,47.704,4,18.0
-2.949,47.639,4,18.0
-2.948,48.557,2,22.0
-2.944,47.568,4,18.0
-2.929,48.676,2,22.0
-2.92,47.611,2,22.0
-2.919,47.618,4,18.0
-2.916,47.653,4,18.0
-2.915,48.429,2,22.0
-2.915,48.509,2,22.0
-2.913,48.404,2,22.0
-2.91,48.401,2,22.0
-2.898,48.401,4,22.0
-2.895,47.542,4,18.0
-2.891,47.55,4,36.0
-2.891,48.108,4,18.0
-2.886,47.861,4,18.0
-2.88,48.067,4,18.0
-2.873,48.663,2,22.0
-2.872,48.186,20,22.0
-2.871,47.66,6,60.0
-2.87,48.39,2,22.0
-2.869,47.656,4,18.0
-2.869,48.629,2,22.0
-2.863,47.601,4,7.0
-2.857,48.555,2,22.0
-2.855,48.445,2,22.0
-2.854,48.523,10,100.0
-2.852,47.601,2,7.0
-2.852,48.523,2,22.0
-2.849,47.592,4,7.0
-2.846,47.593,4,7.0
-2.843,47.758,4,18.0
-2.838,47.889,4,18.0
-2.838,48.281,2,22.0
-2.838,48.642,2,22.0
-2.837,48.654,2,22.0
-2.834,47.856,4,18.0
-2.834,48.626,2,22.0
-2.833,47.502,4,18.0
-2.83,47.614,2,18.0
-2.83,47.615,4,18.0
-2.83,48.601,2,22.0
-2.829,47.882,6,50.0
-2.828,48.613,6,7.0
-2.824,47.627,4,18.0
